Artifact Kind,Schema Name,JSON Schema,Fused,Fused ClassNames,Fused ClassName CSS Tokens,Discoverable
type,CssSelectorType,✅,✅,✅,✅,
type,DataCatalog,✅,✅,✅,✅,
type,DataDownload,✅,✅,✅,✅,
type,DataFeed,✅,✅,✅,✅,
type,DataFeedItem,✅,✅,✅,✅,
type,Dataset,✅,✅,✅,✅,
type,DDxElement,✅,✅,✅,✅,
type,DefinedRegion,✅,✅,✅,✅,
type,DefinedTerm,✅,✅,✅,✅,
type,DefinedTermSet,✅,✅,✅,✅,
type,DeliveryChargeSpecification,✅,✅,✅,✅,
type,Demand,✅,✅,✅,✅,
type,Diet,✅,✅,✅,✅,
type,DiscussionForumPosting,✅,✅,✅,✅,
type,Distance,✅,✅,✅,✅,
type,DoseSchedule,✅,✅,✅,✅,
type,Drug,✅,✅,✅,✅,
type,DrugClass,✅,✅,✅,✅,
type,DrugLegalStatus,✅,✅,✅,✅,
type,DrugStrength,✅,✅,✅,✅,
type,Duration,✅,✅,✅,✅,
type,EducationalOccupationalCredential,✅,✅,✅,✅,
type,EducationalOrganization,✅,✅,✅,✅,
type,EmployerAggregateRating,✅,✅,✅,✅,
type,Energy,✅,✅,✅,✅,
type,EnergyConsumptionDetails,✅,✅,✅,✅,
type,EntryPoint,✅,✅,✅,✅,
type,Enumeration,✅,✅,✅,✅,
type,Episode,✅,✅,✅,✅,
type,Event,✅,✅,✅,✅,
type,FAQPage,✅,✅,✅,✅,
type,fibo-fnd-agr-ctr_MutualContractualAgreement,✅,✅,✅,✅,
type,fibo-fnd-arr-doc_Certificate,✅,✅,✅,✅,
type,FinancialProduct,✅,✅,✅,✅,
type,Gene,✅,✅,✅,✅,
type,GeoCoordinates,✅,✅,✅,✅,
type,GeoShape,✅,✅,✅,✅,
type,GeospatialGeometry,✅,✅,✅,✅,
type,Grant,✅,✅,✅,✅,
type,HealthInsurancePlan,✅,✅,✅,✅,
type,HealthPlanCostSharingSpecification,✅,✅,✅,✅,
type,HealthPlanFormulary,✅,✅,✅,✅,
type,HealthPlanNetwork,✅,✅,✅,✅,
type,HowTo,✅,✅,✅,✅,
type,HowToItem,✅,✅,✅,✅,
type,HowToSection,✅,✅,✅,✅,
type,HowToStep,✅,✅,✅,✅,
type,HowToSupply,✅,✅,✅,✅,
type,HowToTool,✅,✅,✅,✅,
type,HyperTocEntry,✅,✅,✅,✅,
type,ImageGallery,✅,✅,✅,✅,
type,ImageObject,✅,✅,✅,✅,
type,Intangible,✅,✅,✅,✅,
type,Integer,✅,✅,✅,✅,
type,InteractionCounter,✅,✅,✅,✅,
type,ItemList,✅,✅,✅,✅,
type,ItemPage,✅,✅,✅,✅,
type,JobPosting,✅,✅,✅,✅,
type,Language,✅,✅,✅,✅,
type,LearningResource,✅,✅,✅,✅,
type,LifestyleModification,✅,✅,✅,✅,
type,ListItem,✅,✅,✅,✅,✅
type,LoanOrCredit,✅,✅,✅,✅,
type,LocalBusiness,✅,✅,✅,✅,
type,LocationFeatureSpecification,✅,✅,✅,✅,
type,Map,✅,✅,✅,✅,
type,Mass,✅,✅,✅,✅,
type,MathSolver,✅,✅,✅,✅,
type,MaximumDoseSchedule,✅,✅,✅,✅,
type,MediaGallery,✅,✅,✅,✅,
type,MediaObject,✅,✅,✅,✅,
type,MediaSubscription,✅,✅,✅,✅,
type,MedicalAudience,✅,✅,✅,✅,
type,MedicalCause,✅,✅,✅,✅,
type,MedicalCode,✅,✅,✅,✅,
type,MedicalCondition,✅,✅,✅,✅,
type,MedicalConditionStage,✅,✅,✅,✅,
type,MedicalContraindication,✅,✅,✅,✅,
type,MedicalDevice,✅,✅,✅,✅,
type,MedicalEntity,✅,✅,✅,✅,
type,MedicalGuideline,✅,✅,✅,✅,
type,MedicalIntangible,✅,✅,✅,✅,
type,MedicalProcedure,✅,✅,✅,✅,
type,MedicalRiskFactor,✅,✅,✅,✅,
type,MedicalSign,✅,✅,✅,✅,
type,MedicalSignOrSymptom,✅,✅,✅,✅,
type,MedicalStudy,✅,✅,✅,✅,
type,MedicalTest,✅,✅,✅,✅,
type,MedicalTherapy,✅,✅,✅,✅,
type,MedicalWebPage,✅,✅,✅,✅,
type,MemberProgram,✅,✅,✅,✅,
type,MemberProgramTier,✅,✅,✅,✅,
type,MenuItem,✅,✅,✅,✅,
type,MenuSection,✅,✅,✅,✅,
type,MerchantReturnPolicy,✅,✅,✅,✅,
type,MerchantReturnPolicySeasonalOverride,✅,✅,✅,✅,
type,MonetaryAmount,✅,✅,✅,✅,✅
type,MonetaryAmountDistribution,✅,✅,✅,✅,
type,Movie,✅,✅,✅,✅,
type,MusicAlbum,✅,✅,✅,✅,
type,MusicComposition,✅,✅,✅,✅,
type,MusicGroup,✅,✅,✅,✅,
type,MusicPlaylist,✅,✅,✅,✅,
type,MusicRecording,✅,✅,✅,✅,
type,MusicRelease,✅,✅,✅,✅,
type,NewsArticle,✅,✅,✅,✅,
type,NutritionInformation,✅,✅,✅,✅,
type,Occupation,✅,✅,✅,✅,
type,OccupationalExperienceRequirements,✅,✅,✅,✅,
type,Offer,✅,✅,✅,✅,✅
type,OfferCatalog,✅,✅,✅,✅,
type,OfferShippingDetails,✅,✅,✅,✅,
type,OpeningHoursSpecification,✅,✅,✅,✅,
type,OperatingSystem,✅,✅,✅,✅,
type,Organization,✅,✅,✅,✅,
type,PaymentCard,✅,✅,✅,✅,
type,PaymentMethod,✅,✅,✅,✅,
type,PeopleAudience,✅,✅,✅,✅,
type,PerformingGroup,✅,✅,✅,✅,
type,Person,✅,✅,✅,✅,
type,Photograph,✅,✅,✅,✅,
type,Place,✅,✅,✅,✅,✅
type,PostalAddress,✅,✅,✅,✅,
type,PostalCodeRangeSpecification,✅,✅,✅,✅,
type,PriceSpecification,✅,✅,✅,✅,
type,Product,✅,✅,✅,✅,
type,ProductGroup,✅,✅,✅,✅,
type,ProductModel,✅,✅,✅,✅,
type,ProfilePage,✅,✅,✅,✅,
type,ProgramMembership,✅,✅,✅,✅,
type,Property,✅,✅,✅,✅,
type,PropertyValue,✅,✅,✅,✅,
type,PublicationEvent,✅,✅,✅,✅,
type,QAPage,✅,✅,✅,✅,
type,QuantitativeValue,✅,✅,✅,✅,
type,QuantitativeValueDistribution,✅,✅,✅,✅,
type,Question,✅,✅,✅,✅,
type,Quiz,✅,✅,✅,✅,
type,Rating,✅,✅,✅,✅,
type,ReadAction,✅,✅,✅,✅,✅
type,RealEstateListing,✅,✅,✅,✅,
type,Recipe,✅,✅,✅,✅,
type,RepaymentSpecification,✅,✅,✅,✅,
type,Review,✅,✅,✅,✅,
type,RuntimePlatform,✅,✅,✅,✅,
type,Schedule,✅,✅,✅,✅,
type,SearchResultsPage,✅,✅,✅,✅,
type,Series,✅,✅,✅,✅,
type,Service,✅,✅,✅,✅,
type,ServiceChannel,✅,✅,✅,✅,
type,ServicePeriod,✅,✅,✅,✅,
type,ShippingConditions,✅,✅,✅,✅,
type,ShippingDeliveryTime,✅,✅,✅,✅,
type,ShippingRateSettings,✅,✅,✅,✅,
type,ShippingService,✅,✅,✅,✅,
type,SoftwareApplication,✅,✅,✅,✅,
type,SoftwareSourceCode,✅,✅,✅,✅,
type,SolveMathAction,✅,✅,✅,✅,
type,SpeakableSpecification,✅,✅,✅,✅,
type,StatisticalVariable,✅,✅,✅,✅,
type,StructuredValue,✅,✅,✅,✅,
type,Substance,✅,✅,✅,✅,
type,SuperficialAnatomy,✅,✅,✅,✅,
type,Taxon,✅,✅,✅,✅,
type,TechArticle,✅,✅,✅,✅,
type,TextObject,✅,✅,✅,✅,
type,TherapeuticProcedure,✅,✅,✅,✅,
type,Thing,✅,✅,✅,✅,✅
type,Trip,✅,✅,✅,✅,
type,TypeAndQuantityNode,✅,✅,✅,✅,
type,UnitPriceSpecification,✅,✅,✅,✅,
type,URL,✅,✅,✅,✅,
type,VacationRental,✅,✅,✅,✅,
type,Vehicle,✅,✅,✅,✅,
type,VideoGallery,✅,✅,✅,✅,
type,VideoObject,✅,✅,✅,✅,
type,VirtualLocation,✅,✅,✅,✅,
type,WarrantyPromise,✅,✅,✅,✅,
type,WebApplication,✅,✅,✅,✅,
type,WebContent,✅,✅,✅,✅,
type,WebPage,✅,✅,✅,✅,
type,WebPageElement,✅,✅,✅,✅,
type,WebSite,✅,✅,✅,✅,
type,XPathType,✅,✅,✅,✅,
property,about,✅,✅,✅,✅,✅
property,abstract,✅,✅,✅,✅,
property,acceptedPaymentMethod,✅,✅,✅,✅,
property,accessibilityAPI,✅,✅,✅,✅,
property,accessibilityControl,✅,✅,✅,✅,
property,accessibilityFeature,✅,✅,✅,✅,
property,accessibilityHazard,✅,✅,✅,✅,
property,accessibilitySummary,✅,✅,✅,✅,
property,accessMode,✅,✅,✅,✅,
property,accessModeSufficient,✅,✅,✅,✅,
property,accountablePerson,✅,✅,✅,✅,
property,acquireLicensePage,✅,✅,✅,✅,
property,actionableFeedbackPolicy,✅,✅,✅,✅,
property,actionApplication,✅,✅,✅,✅,
property,actionPlatform,✅,✅,✅,✅,
property,actionProcess,✅,✅,✅,✅,
property,actionStatus,✅,✅,✅,✅,
property,activeIngredient,✅,✅,✅,✅,
property,actor,✅,✅,✅,✅,
property,actors,✅,✅,✅,✅,
property,additionalName,✅,✅,✅,✅,
property,additionalProperty,✅,✅,✅,✅,
property,additionalType,✅,✅,✅,✅,
property,addOn,✅,✅,✅,✅,
property,address,✅,✅,✅,✅,✅
property,addressCountry,✅,✅,✅,✅,
property,addressLocality,✅,✅,✅,✅,
property,addressRegion,✅,✅,✅,✅,
property,administrationRoute,✅,✅,✅,✅,
property,advanceBookingRequirement,✅,✅,✅,✅,
property,adverseOutcome,✅,✅,✅,✅,
property,affectedBy,✅,✅,✅,✅,
property,affiliation,✅,✅,✅,✅,
property,agent,✅,✅,✅,✅,
property,agentInteractionStatistic,✅,✅,✅,✅,
property,aggregateElement,✅,✅,✅,✅,
property,aggregateRating,✅,✅,✅,✅,
property,album,✅,✅,✅,✅,
property,albumProductionType,✅,✅,✅,✅,
property,albumRelease,✅,✅,✅,✅,
property,albumReleaseType,✅,✅,✅,✅,
property,albums,✅,✅,✅,✅,
property,alcoholWarning,✅,✅,✅,✅,
property,alignmentType,✅,✅,✅,✅,
property,alternateName,✅,✅,✅,✅,
property,alternativeHeadline,✅,✅,✅,✅,
property,alternativeOf,✅,✅,✅,✅,
property,alumni,✅,✅,✅,✅,
property,alumniOf,✅,✅,✅,✅,
property,amenityFeature,✅,✅,✅,✅,
property,amount,✅,✅,✅,✅,
property,amountOfThisGood,✅,✅,✅,✅,
property,annualPercentageRate,✅,✅,✅,✅,
property,appearance,✅,✅,✅,✅,
property,applicableCountry,✅,✅,✅,✅,
property,applicableLocation,✅,✅,✅,✅,
property,application,✅,✅,✅,✅,
property,applicationCategory,✅,✅,✅,✅,
property,applicationSubCategory,✅,✅,✅,✅,
property,applicationSuite,✅,✅,✅,✅,
property,appliesToDeliveryMethod,✅,✅,✅,✅,
property,archivedAt,✅,✅,✅,✅,
property,area,✅,✅,✅,✅,
property,areaServed,✅,✅,✅,✅,
property,arrivalTime,✅,✅,✅,✅,
property,articleBody,✅,✅,✅,✅,
property,articleSection,✅,✅,✅,✅,
property,asin,✅,✅,✅,✅,
property,aspect,✅,✅,✅,✅,
property,assesses,✅,✅,✅,✅,
property,associatedAnatomy,✅,✅,✅,✅,
property,associatedArticle,✅,✅,✅,✅,
property,associatedClaimReview,✅,✅,✅,✅,
property,associatedDisease,✅,✅,✅,✅,
property,associatedMedia,✅,✅,✅,✅,
property,associatedMediaReview,✅,✅,✅,✅,
property,associatedPathophysiology,✅,✅,✅,✅,
property,associatedReview,✅,✅,✅,✅,
property,attendee,✅,✅,✅,✅,
property,attendees,✅,✅,✅,✅,
property,audience,✅,✅,✅,✅,
property,audienceType,✅,✅,✅,✅,
property,audio,✅,✅,✅,✅,
property,auditDate,✅,✅,✅,✅,
property,authenticator,✅,✅,✅,✅,
property,author,✅,✅,✅,✅,
property,availability,✅,✅,✅,✅,
property,availabilityEnds,✅,✅,✅,✅,
property,availabilityStarts,✅,✅,✅,✅,
property,availableAtOrFrom,✅,✅,✅,✅,
property,availableChannel,✅,✅,✅,✅,
property,availableDeliveryMethod,✅,✅,✅,✅,
property,availableIn,✅,✅,✅,✅,
property,availableLanguage,✅,✅,✅,✅,
property,availableOnDevice,✅,✅,✅,✅,
property,availableStrength,✅,✅,✅,✅,
property,award,✅,✅,✅,✅,
property,awards,✅,✅,✅,✅,
property,backstory,✅,✅,✅,✅,
property,benefitsSummaryUrl,✅,✅,✅,✅,
property,bestRating,✅,✅,✅,✅,
property,billingDuration,✅,✅,✅,✅,
property,billingIncrement,✅,✅,✅,✅,
property,billingStart,✅,✅,✅,✅,
property,bioChemInteraction,✅,✅,✅,✅,
property,bioChemSimilarity,✅,✅,✅,✅,
property,biologicalRole,✅,✅,✅,✅,
property,birthDate,✅,✅,✅,✅,
property,birthPlace,✅,✅,✅,✅,
property,bitrate,✅,✅,✅,✅,
property,bodyLocation,✅,✅,✅,✅,
property,box,✅,✅,✅,✅,
property,branchCode,✅,✅,✅,✅,
property,brand,✅,✅,✅,✅,
property,breadcrumb,✅,✅,✅,✅,
property,breastfeedingWarning,✅,✅,✅,✅,
property,broadcastAffiliateOf,✅,✅,✅,✅,
property,broadcastChannelId,✅,✅,✅,✅,
property,broadcastDisplayName,✅,✅,✅,✅,
property,broadcaster,✅,✅,✅,✅,
property,broadcastFrequency,✅,✅,✅,✅,
property,broadcastFrequencyValue,✅,✅,✅,✅,
property,broadcastServiceTier,✅,✅,✅,✅,
property,broadcastSignalModulation,✅,✅,✅,✅,
property,broadcastSubChannel,✅,✅,✅,✅,
property,broadcastTimezone,✅,✅,✅,✅,
property,broker,✅,✅,✅,✅,
property,businessDays,✅,✅,✅,✅,
property,businessFunction,✅,✅,✅,✅,
property,byArtist,✅,✅,✅,✅,
property,byDay,✅,✅,✅,✅,
property,byMonth,✅,✅,✅,✅,
property,byMonthDay,✅,✅,✅,✅,
property,byMonthWeek,✅,✅,✅,✅,
property,callSign,✅,✅,✅,✅,
property,calories,✅,✅,✅,✅,
property,caption,✅,✅,✅,✅,
property,carbohydrateContent,✅,✅,✅,✅,
property,cashBack,✅,✅,✅,✅,
property,catalog,✅,✅,✅,✅,
property,catalogNumber,✅,✅,✅,✅,
property,category,✅,✅,✅,✅,
property,cause,✅,✅,✅,✅,
property,causeOf,✅,✅,✅,✅,
property,certificationIdentification,✅,✅,✅,✅,
property,certificationRating,✅,✅,✅,✅,
property,certificationStatus,✅,✅,✅,✅,
property,character,✅,✅,✅,✅,
property,checkoutPageURLTemplate,✅,✅,✅,✅,
property,children,✅,✅,✅,✅,
property,childTaxon,✅,✅,✅,✅,
property,cholesterolContent,✅,✅,✅,✅,
property,circle,✅,✅,✅,✅,
property,citation,✅,✅,✅,✅,
property,claimInterpreter,✅,✅,✅,✅,
property,clincalPharmacology,✅,✅,✅,✅,
property,clinicalPharmacology,✅,✅,✅,✅,
property,clipNumber,✅,✅,✅,✅,
property,closes,✅,✅,✅,✅,
property,code,✅,✅,✅,✅,
property,codeValue,✅,✅,✅,✅,
property,codingSystem,✅,✅,✅,✅,
property,colleague,✅,✅,✅,✅,
property,colleagues,✅,✅,✅,✅,
property,color,✅,✅,✅,✅,
property,colorSwatch,✅,✅,✅,✅,
property,comment,✅,✅,✅,✅,
property,commentCount,✅,✅,✅,✅,
property,companyRegistration,✅,✅,✅,✅,
property,competencyRequired,✅,✅,✅,✅,
property,composer,✅,✅,✅,✅,
property,comprisedOf,✅,✅,✅,✅,
property,conditionsOfAccess,✅,✅,✅,✅,
property,connectedTo,✅,✅,✅,✅,
property,constraintProperty,✅,✅,✅,✅,
property,contactlessPayment,✅,✅,✅,✅,
property,contactOption,✅,✅,✅,✅,
property,contactPoint,✅,✅,✅,✅,
property,contactPoints,✅,✅,✅,✅,
property,contactType,✅,✅,✅,✅,
property,containedIn,✅,✅,✅,✅,
property,containedInPlace,✅,✅,✅,✅,
property,containsPlace,✅,✅,✅,✅,
property,contentLocation,✅,✅,✅,✅,
property,contentRating,✅,✅,✅,✅,
property,contentReferenceTime,✅,✅,✅,✅,
property,contentSize,✅,✅,✅,✅,
property,contentType,✅,✅,✅,✅,
property,contentUrl,✅,✅,✅,✅,
property,contraindication,✅,✅,✅,✅,
property,contributor,✅,✅,✅,✅,
property,copyrightHolder,✅,✅,✅,✅,
property,copyrightNotice,✅,✅,✅,✅,
property,copyrightYear,✅,✅,✅,✅,
property,correction,✅,✅,✅,✅,
property,correctionsPolicy,✅,✅,✅,✅,
property,countriesNotSupported,✅,✅,✅,✅,
property,countriesSupported,✅,✅,✅,✅,
property,countryOfAssembly,✅,✅,✅,✅,
property,countryOfLastProcessing,✅,✅,✅,✅,
property,countryOfOrigin,✅,✅,✅,✅,
property,creativeWorkStatus,✅,✅,✅,✅,
property,creator,✅,✅,✅,✅,
property,credentialCategory,✅,✅,✅,✅,
property,creditedTo,✅,✅,✅,✅,
property,creditText,✅,✅,✅,✅,
property,cssSelector,✅,✅,✅,✅,
property,currency,✅,✅,✅,✅,
property,customerRemorseReturnFees,✅,✅,✅,✅,
property,customerRemorseReturnLabelSource,✅,✅,✅,✅,
property,customerRemorseReturnShippingFeesAmount,✅,✅,✅,✅,
property,cutoffTime,✅,✅,✅,✅,
property,dataFeedElement,✅,✅,✅,✅,
property,dataset,✅,✅,✅,✅,
property,datasetTimeInterval,✅,✅,✅,✅,
property,dateCreated,✅,✅,✅,✅,
property,dateDeleted,✅,✅,✅,✅,
property,dateline,✅,✅,✅,✅,
property,dateModified,✅,✅,✅,✅,
property,datePosted,✅,✅,✅,✅,
property,datePublished,✅,✅,✅,✅,
property,dayOfWeek,✅,✅,✅,✅,
property,deathDate,✅,✅,✅,✅,
property,deathPlace,✅,✅,✅,✅,
property,deliveryLeadTime,✅,✅,✅,✅,
property,deliveryTime,✅,✅,✅,✅,
property,department,✅,✅,✅,✅,
property,departureTime,✅,✅,✅,✅,
property,depth,✅,✅,✅,✅,
property,description,✅,✅,✅,✅,
property,device,✅,✅,✅,✅,
property,diagnosis,✅,✅,✅,✅,
property,diagram,✅,✅,✅,✅,
property,dietFeatures,✅,✅,✅,✅,
property,differentialDiagnosis,✅,✅,✅,✅,
property,digitalSourceType,✅,✅,✅,✅,
property,director,✅,✅,✅,✅,
property,directors,✅,✅,✅,✅,
property,disambiguatingDescription,✅,✅,✅,✅,
property,discussionUrl,✅,✅,✅,✅,
property,displayLocation,✅,✅,✅,✅,
property,dissolutionDate,✅,✅,✅,✅,
property,distinguishingSign,✅,✅,✅,✅,
property,distribution,✅,✅,✅,✅,
property,diversityPolicy,✅,✅,✅,✅,
property,diversityStaffingReport,✅,✅,✅,✅,
property,doesNotShip,✅,✅,✅,✅,
property,domainIncludes,✅,✅,✅,✅,
property,doorTime,✅,✅,✅,✅,
property,dosageForm,✅,✅,✅,✅,
property,doseSchedule,✅,✅,✅,✅,
property,doseUnit,✅,✅,✅,✅,
property,doseValue,✅,✅,✅,✅,
property,downloadUrl,✅,✅,✅,✅,
property,downPayment,✅,✅,✅,✅,
property,downvoteCount,✅,✅,✅,✅,
property,drug,✅,✅,✅,✅,
property,drugClass,✅,✅,✅,✅,
property,drugUnit,✅,✅,✅,✅,
property,duns,✅,✅,✅,✅,
property,duplicateTherapy,✅,✅,✅,✅,
property,duration,✅,✅,✅,✅,
property,durationOfWarranty,✅,✅,✅,✅,
property,earlyPrepaymentPenalty,✅,✅,✅,✅,
property,editEIDR,✅,✅,✅,✅,
property,editor,✅,✅,✅,✅,
property,educationalAlignment,✅,✅,✅,✅,
property,educationalFramework,✅,✅,✅,✅,
property,educationalLevel,✅,✅,✅,✅,
property,educationalUse,✅,✅,✅,✅,
property,educationRequirements,✅,✅,✅,✅,
property,elevation,✅,✅,✅,✅,
property,eligibleCustomerType,✅,✅,✅,✅,
property,eligibleDuration,✅,✅,✅,✅,
property,eligibleQuantity,✅,✅,✅,✅,
property,eligibleRegion,✅,✅,✅,✅,
property,eligibleTransactionVolume,✅,✅,✅,✅,
property,email,✅,✅,✅,✅,
property,embeddedTextCaption,✅,✅,✅,✅,
property,embedUrl,✅,✅,✅,✅,
property,employee,✅,✅,✅,✅,
property,employees,✅,✅,✅,✅,
property,encodesBioChemEntity,✅,✅,✅,✅,
property,encodesCreativeWork,✅,✅,✅,✅,
property,encoding,✅,✅,✅,✅,
property,encodingFormat,✅,✅,✅,✅,
property,encodings,✅,✅,✅,✅,
property,encodingType,✅,✅,✅,✅,
property,endDate,✅,✅,✅,✅,
property,endOffset,✅,✅,✅,✅,
property,endorsers,✅,✅,✅,✅,
property,endTime,✅,✅,✅,✅,
property,energyEfficiencyScaleMax,✅,✅,✅,✅,
property,energyEfficiencyScaleMin,✅,✅,✅,✅,
property,epidemiology,✅,✅,✅,✅,
property,episode,✅,✅,✅,✅,
property,episodeNumber,✅,✅,✅,✅,
property,episodes,✅,✅,✅,✅,
property,error,✅,✅,✅,✅,
property,estimatedCost,✅,✅,✅,✅,
property,estimatedSalary,✅,✅,✅,✅,
property,ethicsPolicy,✅,✅,✅,✅,
property,event,✅,✅,✅,✅,
property,eventAttendanceMode,✅,✅,✅,✅,
property,events,✅,✅,✅,✅,
property,eventSchedule,✅,✅,✅,✅,
property,eventStatus,✅,✅,✅,✅,
property,evidenceLevel,✅,✅,✅,✅,
property,evidenceOrigin,✅,✅,✅,✅,
property,exampleOfWork,✅,✅,✅,✅,
property,exceptDate,✅,✅,✅,✅,
property,exifData,✅,✅,✅,✅,
property,expectedPrognosis,✅,✅,✅,✅,
property,expectsAcceptanceOf,✅,✅,✅,✅,
property,experienceRequirements,✅,✅,✅,✅,
property,expertConsiderations,✅,✅,✅,✅,
property,expires,✅,✅,✅,✅,
property,expressedIn,✅,✅,✅,✅,
property,extendedAddress,✅,✅,✅,✅,
property,familyName,✅,✅,✅,✅,
property,fatContent,✅,✅,✅,✅,
property,faxNumber,✅,✅,✅,✅,
property,featureList,✅,✅,✅,✅,
property,feesAndCommissionsSpecification,✅,✅,✅,✅,
property,fiberContent,✅,✅,✅,✅,
property,fileFormat,✅,✅,✅,✅,
property,fileSize,✅,✅,✅,✅,
property,firstAppearance,✅,✅,✅,✅,
property,firstPerformance,✅,✅,✅,✅,
property,floorLimit,✅,✅,✅,✅,
property,follows,✅,✅,✅,✅,
property,followup,✅,✅,✅,✅,
property,foodWarning,✅,✅,✅,✅,
property,founder,✅,✅,✅,✅,
property,founders,✅,✅,✅,✅,
property,foundingDate,✅,✅,✅,✅,
property,foundingLocation,✅,✅,✅,✅,
property,free,✅,✅,✅,✅,
property,freeShippingThreshold,✅,✅,✅,✅,
property,frequency,✅,✅,✅,✅,
property,fulfillmentType,✅,✅,✅,✅,
property,fundedItem,✅,✅,✅,✅,
property,funder,✅,✅,✅,✅,
property,funding,✅,✅,✅,✅,
property,gender,✅,✅,✅,✅,
property,genre,✅,✅,✅,✅,
property,geo,✅,✅,✅,✅,
property,geoContains,✅,✅,✅,✅,
property,geoCoveredBy,✅,✅,✅,✅,
property,geoCovers,✅,✅,✅,✅,
property,geoCrosses,✅,✅,✅,✅,
property,geoDisjoint,✅,✅,✅,✅,
property,geoEquals,✅,✅,✅,✅,
property,geographicArea,✅,✅,✅,✅,
property,geoIntersects,✅,✅,✅,✅,
property,geoOverlaps,✅,✅,✅,✅,
property,geoTouches,✅,✅,✅,✅,
property,geoWithin,✅,✅,✅,✅,
property,givenName,✅,✅,✅,✅,
property,globalLocationNumber,✅,✅,✅,✅,
property,gracePeriod,✅,✅,✅,✅,
property,gtin,✅,✅,✅,✅,
property,gtin12,✅,✅,✅,✅,
property,gtin13,✅,✅,✅,✅,
property,gtin14,✅,✅,✅,✅,
property,gtin8,✅,✅,✅,✅,
property,guideline,✅,✅,✅,✅,
property,guidelineDate,✅,✅,✅,✅,
property,guidelineSubject,✅,✅,✅,✅,
property,handlingTime,✅,✅,✅,✅,
property,hasAdultConsideration,✅,✅,✅,✅,
property,hasBioChemEntityPart,✅,✅,✅,✅,
property,hasBioPolymerSequence,✅,✅,✅,✅,
property,hasBroadcastChannel,✅,✅,✅,✅,
property,hasCategoryCode,✅,✅,✅,✅,
property,hasCertification,✅,✅,✅,✅,
property,hasCredential,✅,✅,✅,✅,
property,hasDefinedTerm,✅,✅,✅,✅,
property,hasDriveThroughService,✅,✅,✅,✅,
property,hasEnergyConsumptionDetails,✅,✅,✅,✅,
property,hasEnergyEfficiencyCategory,✅,✅,✅,✅,
property,hasGS1DigitalLink,✅,✅,✅,✅,
property,hasMap,✅,✅,✅,✅,
property,hasMeasurement,✅,✅,✅,✅,
property,hasMemberProgram,✅,✅,✅,✅,
property,hasMenuItem,✅,✅,✅,✅,
property,hasMenuSection,✅,✅,✅,✅,
property,hasMerchantReturnPolicy,✅,✅,✅,✅,
property,hasMolecularFunction,✅,✅,✅,✅,
property,hasOccupation,✅,✅,✅,✅,
property,hasOfferCatalog,✅,✅,✅,✅,
property,hasPart,✅,✅,✅,✅,
property,hasParticipationOffer,✅,✅,✅,✅,
property,hasPOS,✅,✅,✅,✅,
property,hasRepresentation,✅,✅,✅,✅,
property,hasShippingService,✅,✅,✅,✅,
property,hasSponsorshipOffer,✅,✅,✅,✅,
property,hasTierBenefit,✅,✅,✅,✅,
property,hasTierRequirement,✅,✅,✅,✅,
property,hasTiers,✅,✅,✅,✅,
property,hasVariant,✅,✅,✅,✅,
